dvit_id,grin_acc,grin_name,taxonomy,origin,passQC,vivc_match,match_score,match_via
DVIT_8214,DVIT 8214,Sary Aygyr,Vitis vinifera L. subsp. vinifera ,nan,True,,0.0,
DVIT_8216,DVIT 8216,Suphris Gorula,Vitis vinifera L. subsp. vinifera ,nan,True,GORULA,100.0,synonym (SUPHRIS GORULA)
DVIT_8222,DVIT 8222,Adreuli Skelkana,Vitis vinifera L. subsp. vinifera ,nan,True,ADREULI TKHELKANA,100.0,synonym (ADREULI SKELKANA)
GVIT_1512,GVIT 1512,Jubilee of Crane,Vitis vinifera L. subsp. vinifera ,Moldova,True,,0.0,
GVIT_1622,GVIT 1622,Buffalo Red Sport,Vitis hybr.,United States,True,,0.0,
GVIT_1631,GVIT 1631,E.S. 6-5-33,Vitis hybr.,"Wisconsin, United States",True,,0.0,
GVIT_1665,GVIT 1665,34/03,Vitis aestivalis Michx. ,"New York, United States",True,,0.0,
PI_200684,PI 200684,Vidal Blanc (Vidal 256),Vitis hybr.,France,True,,0.0,
PI_231661,PI 231661,Ribier,Vitis vinifera L. subsp. vinifera ,Belgium,True,RIBIER NOIR,100.0,synonym (RIBIER)
PI_588068,PI 588068,Landot 4511,Vitis hybr.,Unknown,True,LANDOT NOIR,100.0,synonym (LANDOT 4511)
PI_588107,PI 588107,Marechal Foch (Kuhlmann 188-2),Vitis hybr.,France,True,,0.0,
PI_588127,PI 588127,Ill 796-1,Vitis hybr.,"Illinois, United States",True,,0.0,
PI_588177,PI 588177,Rkaziteli,Vitis vinifera L. subsp. vinifera ,Unknown,True,RKATSITELI,100.0,synonym (RKAZITELI)
PI_588192,PI 588192,Ill 559-2,Vitis hybr.,"Illinois, United States",True,,0.0,
PI_588195,PI 588195,Campbell,Vitis hybr.,"Texas, United States",True,EARLY GOLDEN,100.0,synonym (CAMPBELL)
PI_588198,PI 588198,Ill 46,Vitis cinerea (Engelm.) Millardet ,"Illinois, United States",True,CAILLE  46,80.0,prime name
PI_588253,PI 588253,Burdin 7575,Vitis hybr.,France,True,BURDIN  7375,100.0,synonym (BURDIN  7575)
PI_588334,PI 588334,Rem 66-54-3,Vitis hybr.,France,True,,0.0,
PI_588413,PI 588413,GVIT 730,Vitis hybr.,Unknown,True,,0.0,
PI_588436,PI 588436,GVIT 772,Vitis hybr.,"South Dakota, United States",True,,0.0,
PI_588461,PI 588461,Ill 770-1,Vitis hybr.,"Illinois, United States",True,,0.0,
PI_588489,PI 588489,NY 65.550.8,Vitis hybr.,"New York, United States",True,,0.0,
PI_588515,PI 588515,Pseudo Seneca,Vitis hybr.,Unknown,True,,0.0,
PI_588520,PI 588520,Excellente,Vitis hybr.,Unknown,True,,0.0,
PI_588521,PI 588521,NY 65.548.3,Vitis hybr.,"New York, United States",True,TRAMINETTE,75.0,synonym (NY 65.0533.13)
