GRIN_accessionID,GRIN_ACCESSION,GRIN_PLANT_NAME,GRIN_TAXONOMY,GRIN_GENEBANK,GRIN_ORIGIN,GRIN_DbID,passQC,missingness_rate,Vv_ancestry_pct,NA1_ancestry_pct,NA2_ancestry_pct,Mus_ancestry_pct,EA_ancestry_pct,vivc_prime_name,vivc_number,vivc_country_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,vivc_pedigree_confirmed,match_methods,n_confirming_methods,origin_crossval,species_crossval,ambiguous_flag
PI_588244,PI 588244,Bertille Seyve 2667,Vitis hybr.,GEN,France,1005475.0,True,0.16,18.5,81.5,0.0,0.0,0.0,BERTILLE SEYVE 27,1196,FRANCE,VITIS INTERSPECIFIC CROSSING,,,,,M5_fuzzy(r=0.944),1,OK,OK,False
PI_588242,PI 588242,Couderc 13,Vitis hybr.,GEN,France,1005441.0,True,0.09,84.3,0.0,15.5,0.0,0.2,COUDERC 13,2909,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,VITIS AESTIVALIS VAR. LINCECUMII BUCKLEY,COUDERC 162- 5,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588240,PI 588240,Seibel 2653,Vitis hybr.,GEN,France,1005281.0,True,0.15,0.0,50.0,50.0,0.0,0.0,SEIBEL 653,17967,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,VIVARAIS,NOAH,,M5_fuzzy(r=0.952),1,OK,OK,False
PI_588239,PI 588239,Joannes Seyve 25-874,Vitis hybr.,GEN,France,1005258.0,True,0.1,54.3,0.7,45.0,0.0,0.0,JOANNES SEYVE 25874,5800,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M5_fuzzy(r=0.974),1,OK,OK,False
PI_588238,PI 588238,Seibel 4995,Vitis hybr.,GEN,France,1005245.0,True,0.13,33.2,48.2,18.7,0.0,0.0,SEIBEL 4995,11065,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,SEIBEL 2510,POMPON D'OR,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588237,PI 588237,Seibel 128,Vitis hybr.,GEN,France,1005227.0,True,0.12,29.8,52.1,18.1,0.0,0.0,SEIBEL 4128,18547,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,AFUS ALI,GANZIN 1,,M5_fuzzy(r=0.952),1,OK,OK,False
PI_588235,PI 588235,Sweet Blue,Vitis hybr.,GEN,Unknown,1005047.0,True,0.13,12.5,0.0,87.5,0.0,0.0,SWEET BLUE,12116,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,MISMATCH,True
PI_588234,PI 588234,Jaeger 70,Vitis hybr.,GEN,"Missouri, United States",1005033.0,True,0.13,0.0,50.9,49.1,0.0,0.0,JAEGER 7,19679,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,,VITIS CORDIFOLIA MICHAUX,VITIS RUPESTRIS SCHEELE,,M5_fuzzy(r=0.941),1,MISMATCH,OK,False
PI_588286,PI 588286,Remaily Seedless,Vitis hybr.,GEN,"New York, United States",1006421.0,True,0.09,71.5,18.3,9.5,0.0,0.6,REMAILY SEEDLESS,10011,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,LADY PATRICIA,NEW YORK 33979,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588285,PI 588285,Missouri Reisling,Vitis hybr.,GEN,"Missouri, United States",1006393.0,True,0.15,22.4,28.8,48.8,0.0,0.0,MISSOURI RIESLING,7875,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,TAYLOR,,,M5_fuzzy(r=0.941),1,MISMATCH,OK,False
PI_588284,PI 588284,Couderc 17,Vitis hybr.,GEN,France,1006372.0,True,0.09,82.6,0.0,17.4,0.0,0.0,COUDERC 17,2913,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS AESTIVALIS VAR. LINCECUMII BUCKLEY,COUDERC 162- 5,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588283,PI 588283,Lucile,Vitis hybr.,GEN,"New York, United States",1006363.0,True,0.11,29.8,1.0,69.2,0.0,0.0,LUCILE,6974,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,NOIR,WILMINGTON RED,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588281,PI 588281,Swenson Red,Vitis hybr.,GEN,"Minnesota, United States",1006336.0,True,0.1,34.2,41.8,24.0,0.0,0.0,SWENSON RED,15764,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,MINNESOTA 78,RUBILANDE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588280,PI 588280,Edelweiss,Vitis hybr.,GEN,"Minnesota, United States",1006331.0,True,0.13,30.3,19.8,49.9,0.0,0.0,EDELWEISS,15763,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,MINNESOTA 78,ONTARIO,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588279,PI 588279,Goethe,Vitis hybr.,GEN,"Massachusetts, United States",1006274.0,True,0.1,50.2,0.6,49.2,0.0,0.0,GOETHE,4851,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,CARTER,SCHIAVA GROSSA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588278,PI 588278,Hercules,Vitis hybr.,GEN,"Illinois, United States",1006269.0,True,0.11,46.3,0.0,53.7,0.0,0.0,HERCULES,5360,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588277,PI 588277,Jersey Muscat,Vitis labrusca L. ,GEN,Unknown,1006253.0,True,0.13,15.1,0.7,84.2,0.0,0.0,JERSEY MUSCAT,5693,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588268,PI 588268,Wachepa,Vitis hybr.,GEN,"South Dakota, United States",1006133.0,True,0.2,18.7,45.1,36.1,0.0,0.0,WACHEPA,14502,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,LADY WASHINGTON,BETA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588267,PI 588267,Wecota,Vitis hybr.,GEN,"South Dakota, United States",1006116.0,True,0.12,16.4,51.8,31.8,0.0,0.0,WECOTA,14503,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,LADY WASHINGTON,BETA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588266,PI 588266,Valiant,Vitis hybr.,GEN,"South Dakota, United States",1006095.0,True,0.31,12.9,51.8,35.3,0.0,0.0,VALIANT,14500,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FREDONIA,SOUTH DAKOTA 62- 8- 58,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588265,PI 588265,Toscha,Vitis hybr.,GEN,"South Dakota, United States",1006068.0,True,0.18,14.9,48.6,36.5,0.0,0.0,TOSCHA,14499,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,LADY,NORTH DAKOTA WILD,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588264,PI 588264,Atkan,Vitis hybr.,GEN,"South Dakota, United States",1006030.0,True,0.13,20.9,37.1,42.0,0.0,0.0,ATKAN,14470,UNITED STATES OF AMERICA,,BLANC,LADY,NORTH DAKOTA WILD,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,,False
PI_588263,PI 588263,Chontay,Vitis hybr.,GEN,"South Dakota, United States",1006013.0,True,0.16,30.0,31.3,38.6,0.0,0.0,CHONTAY,14474,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,MASSASOIT,BETA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588403,PI 588403,Seibel 5760,Vitis hybr.,GEN,France,1008333.0,True,0.22,43.5,44.0,12.5,0.0,0.0,SEIBEL 5760,14624,FRANCE,VITIS INTERSPECIFIC CROSSING,ROSE,SEIBEL 405,SEIBEL 867,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
PI_588402,PI 588402,Elvicand,Vitis hybr.,GEN,"Texas, United States",1008332.0,True,0.13,13.3,13.1,73.6,0.0,0.0,ELVICAND,3884,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,ELVIRA,VITIS CANDICANS ENGELMANN,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588434,PI 588434,Liberty,Vitis hybr.,,"Florida, United States",1008704.0,True,0.09,50.0,50.0,0.0,0.0,0.0,LIBERTY,6830,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FLORIDA W 716,BUFFALO,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588433,PI 588433,Long John,Vitis hybr.,GEN,"Texas, United States",1008696.0,True,0.11,30.8,0.7,68.5,0.0,0.0,LONG JOHN,6897,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,BIG BERRY,TRIUMPH,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588432,PI 588432,Osbu,Vitis hybr.,GEN,"South Dakota, United States",1008679.0,True,0.13,17.5,48.6,33.9,0.0,0.0,OSBU,14489,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,BETA,AGAWAM,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588431,PI 588431,Xlnta,Vitis hybr.,GEN,"Texas, United States",1008655.0,True,0.11,29.5,16.6,53.9,0.0,0.0,XLNTA,13282,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,AMERICA,R.W. MUNSON,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588430,PI 588430,Wapanuka,Vitis hybr.,GEN,"Texas, United States",1008633.0,True,0.12,28.4,8.8,62.7,0.0,0.0,WAPANUKA,13202,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ROMMEL,BRILLIANT,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588428,PI 588428,Greek Perfume,Vitis hybr.,,Greece,1008594.0,True,0.13,0.0,100.0,0.0,0.0,0.0,GREEK PERFUME,14481,UNITED STATES OF AMERICA,,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,,False
PI_588427,PI 588427,Golden Drop,Vitis hybr.,GEN,"Iowa, United States",1008588.0,True,0.11,50.8,0.0,49.2,0.0,0.0,GOLDEN DROP,4875,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,ADIRONDAC,DELAWARE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588424,PI 588424,Hidalgo,Vitis hybr.,GEN,"Texas, United States",1008528.0,True,0.09,57.5,22.4,20.2,0.0,0.0,HIDALGO,5388,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,DELAGO,BRILLIANT,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588386,PI 588386,Van Buren,Vitis hybr.,GEN,"New York, United States",1008134.0,True,0.23,24.4,0.8,74.8,0.0,0.0,VAN BUREN,12884,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FREDONIA,WORDEN,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588381,PI 588381,Teleki 8B,Vitis hybr.,GEN,Hungary,1008093.0,True,0.33,0.0,50.9,49.1,0.0,0.0,TELEKI 8 B,12326,HUNGARY,VITIS INTERSPECIFIC CROSSING,,BERLANDIERI RESSEGUIER 2,RIPARIA GLOIRE DE MONTPELLIER,view,M5_fuzzy(r=0.947),1,OK,OK,False
PI_588379,PI 588379,Teleki 5C,Vitis hybr.,GEN,"California, United States",1008077.0,True,0.12,0.0,50.7,49.3,0.0,0.0,TELEKI 5 C,12324,HUNGARY,VITIS INTERSPECIFIC CROSSING,,BERLANDIERI RESSEGUIER 2,RIPARIA GLOIRE DE MONTPELLIER,view,M5_fuzzy(r=0.947),1,MISMATCH,OK,False
PI_588370,PI 588370,Freedom,Vitis hybr.,GEN,"California, United States",1007903.0,True,0.36,4.7,80.2,15.1,0.0,0.0,FREEDOM,4235,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FRESNO 1613- 59,DOG RIDGE 5,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
PI_588361,PI 588361,Bailey Alicante,Vitis hybr.,GEN,Unknown,1007759.0,True,0.1,70.7,0.5,28.8,0.0,0.0,BAILEY ALICANTE A,898,JAPAN,VITIS INTERSPECIFIC CROSSING,NOIR,BAILEY,ALICANTE HENRI BOUSCHET,,M5_fuzzy(r=0.938),1,MISMATCH,OK,False
DVIT_972,DVIT 972,Tamarez,Vitis vinifera L. subsp. vinifera ,DAV,Portugal,1010451.0,True,0.14,100.0,0.0,0.0,0.0,0.0,TAMAREZ,12231,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_973,DVIT 973,Tannat,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1010464.0,True,0.18,100.0,0.0,0.0,0.0,0.0,TANNAT,12257,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_3107,DVIT 3107,Reichensteiner,Vitis vinifera L. ,DAV,Germany,1645138.0,True,0.28,100.0,0.0,0.0,0.0,0.0,REICHENSTEINER,10004,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,MUELLER THURGAU WEISS,MADELEINE ANGEVINE X CALABRE,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2625,DVIT 2625,Ruby Seedless,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1552633.0,True,0.26,100.0,0.0,0.0,0.0,0.0,RUBY SEEDLESS,10314,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,EMPEROR,SULTANA MOSCATA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2623,DVIT 2623,Magoon,Vitis rotundifolia Michx. ,DAV,"Florida, United States",1564571.0,True,0.34,0.0,0.0,0.0,100.0,0.0,MAGOON,7097,UNITED STATES OF AMERICA,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA,NOIR,THOMAS,?,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2622,DVIT 2622,Dearing,Vitis rotundifolia Michx. ,DAV,"Florida, United States",1564570.0,True,0.35,0.2,0.0,0.0,99.8,0.0,DEARING,3479,UNITED STATES OF AMERICA,MUSCADINIA ROTUNDIFOLIA MICHAUX VAR. ROTUNDIFOLIA,BLANC,LUOLA,BURGAW,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_261,DVIT 261,Seibel 8916,Vitis hybr.,DAV,"Auvergne-Rh√¥ne-Alpes, France",1004848.0,True,0.17,54.1,38.9,7.0,0.0,0.0,SEIBEL 8916,11324,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2608,DVIT 2608,Ruggeri 140,Vitis hybr.,DAV,"Florida, United States",1564567.0,True,0.25,0.0,50.3,49.7,0.0,0.0,RUGGERI 140,10351,ITALY,VITIS INTERSPECIFIC CROSSING,,BERLANDIERI GAILLARD,RUPESTRIS DU LOT,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2605,DVIT 2605,Khorestini,Vitis vinifera L. subsp. vinifera ,DAV,"Oregon, United States",1564483.0,True,0.21,100.0,0.0,0.0,0.0,0.0,KHORESTINI,27183,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2626,DVIT 2626,Seibel 6468,Vitis hybr.,DAV,"Florida, United States",1564573.0,True,0.26,74.1,20.8,4.6,0.0,0.4,SEIBEL 6468,11181,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,SEIBEL 4614,SEIBEL 3011,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2604,DVIT 2604,Schwin,Vitis vinifera L. subsp. vinifera ,DAV,"Oregon, United States",1564482.0,True,0.42,63.2,35.8,0.4,0.5,0.0,SCHWIN,27189,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2603,DVIT 2603,Shingargoon,Vitis vinifera L. subsp. vinifera ,DAV,"Oregon, United States",1564481.0,True,0.26,100.0,0.0,0.0,0.0,0.0,SHINGARGOON,27618,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2601,DVIT 2601,De Grasset,Vitis √óchampinii Planch. ,DAV,"Louisiana, United States",1564294.0,True,0.27,0.0,51.3,48.7,0.0,0.0,DE GRASSET,3473,UNITED STATES OF AMERICA,VITIS CHAMPINII PLANCHON,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_260,DVIT 260,Seibel 8616,Vitis hybr.,DAV,"Kansas, United States",1004832.0,True,0.28,36.9,51.0,12.1,0.0,0.0,SEIBEL 8616,11301,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_26,DVIT 26,Canada,Vitis hybr.,DAV,"Ontario, Canada",1000942.0,True,0.19,62.7,24.2,13.1,0.0,0.0,CANADA,2033,CANADA,VITIS INTERSPECIFIC CROSSING,NOIR,CLINTON,BLACK ALICANTE,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2627,DVIT 2627,Seyve Villard 23-18,Vitis hybr.,DAV,"Florida, United States",1564574.0,True,0.11,53.8,37.8,8.3,0.0,0.1,SEYVE VILLARD 23- 18,11635,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,RUBILANDE,CHANCELLOR,,M3_umlaut|M4_hybrid_spacing,2,MISMATCH,OK,False
DVIT_265,DVIT 265,Seibel 11417,Vitis hybr.,DAV,"Maryland, United States",1004877.0,True,0.31,50.3,49.7,0.0,0.0,0.0,SEIBEL 11417,11381,FRANCE,VITIS INTERSPECIFIC CROSSING,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2649,DVIT 2649,Pinger,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1564639.0,True,0.22,97.3,0.1,0.0,0.0,2.6,PINGER,25963,CHINA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2637,DVIT 2637,Goyura,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1564627.0,True,0.23,99.7,0.2,0.0,0.0,0.0,GOYURA,4931,AUSTRALIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,MUSCAT OF ALEXANDRIA,SULTANINA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2630,DVIT 2630,Agawam,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1564620.0,True,0.34,51.9,1.0,47.1,0.0,0.0,AGAWAM,94,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,CARTER,SCHIAVA GROSSA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,MISMATCH,True
DVIT_2636,DVIT 2636,Fayoumi,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1564626.0,True,0.19,100.0,0.0,0.0,0.0,0.0,FAYOUMI,4067,EGYPT,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2632,DVIT 2632,Champanel,Vitis hybr.,DAV,"Texas, United States",1564622.0,True,0.23,16.2,15.8,68.0,0.0,0.0,CHAMPANEL,2440,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS CHAMPINII PLANCHON,WORDEN,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2631,DVIT 2631,Casculho,Vitis vinifera L. subsp. vinifera ,DAV,"California, United States",1564621.0,True,0.12,100.0,0.0,0.0,0.0,0.0,CASCULHO,14149,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,ALFROCHEIRO,CAYETANA BLANCA,view,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_259,DVIT 259,Seibel 8228,Vitis hybr.,DAV,"California, United States",1004831.0,True,0.26,54.5,39.8,5.5,0.2,0.0,SEIBEL 828,18041,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 85,VIVARAIS,,M5_fuzzy(r=0.952),1,MISMATCH,OK,False
DVIT_2589,DVIT 2589,Daytona,Vitis hybr.,DAV,"Florida, United States",1564291.0,True,0.27,68.6,9.5,21.0,0.0,0.9,DAYTONA,3468,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,FLORIDA B 3- 90,EXOTIC,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2537,DVIT 2537,Gaschochi,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564164.0,True,0.16,96.5,0.0,0.2,0.0,3.3,GASCHOCHI,27178,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2560,DVIT 2560,Florilush,Vitis sp.,DAV,"Florida, United States",1565313.0,True,0.31,14.0,26.8,59.2,0.0,0.0,FLORILUSH,16887,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,DOG RIDGE,TAMPA,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_256,DVIT 256,Seibel 5860,Vitis hybr.,DAV,"Kansas, United States",1004795.0,True,0.29,60.2,34.9,5.0,0.0,0.0,SEIBEL 5860,11134,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,SEIBEL 2859 X SEIBEL 1,ALICANTE GANZIN,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2544,DVIT 2544,Rubaiyat,Vitis hybr.,DAV,"Oklahoma, United States",1564208.0,True,0.28,51.5,16.6,32.0,0.0,0.0,RUBAIYAT,16927,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 5437,BAILEY,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2540,DVIT 2540,Carolina Black Rose,Vitis hybr.,DAV,"Florida, United States",1564205.0,True,0.22,86.5,12.6,0.9,0.0,0.0,CAROLINA BLACKROSE,2119,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,AURELIA,BLACK ROSE,,M5_fuzzy(r=0.973),1,MISMATCH,OK,False
DVIT_2536,DVIT 2536,Dardari,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564163.0,True,0.22,97.6,0.5,0.0,0.0,1.9,DARDARI,27177,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2534,DVIT 2534,Kala Kostan,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564161.0,True,0.23,98.3,0.1,0.5,0.0,1.2,KALA KOSTAN,27180,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2533,DVIT 2533,Nosargoon,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564160.0,True,0.14,98.2,0.0,0.0,0.0,1.8,NOSARGOON,42300,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROSE,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2532,DVIT 2532,Churgoon,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564159.0,True,0.09,98.4,0.0,0.0,0.0,1.6,CHURGOON,27616,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_2531,DVIT 2531,Torgoon,Vitis vinifera L. subsp. vinifera ,DAV,"Gilgit-Baltistan, Pakistan",1564158.0,True,0.14,99.4,0.0,0.0,0.0,0.6,TORGOON,27190,PAKISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,OK,OK,False
DVIT_253,DVIT 253,Seibel 2056,Vitis hybr.,DAV,"Kansas, United States",1004771.0,True,0.24,51.4,34.8,13.8,0.0,0.0,SEIBEL 2056,11007,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,MUNSON,ARAMON,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
DVIT_2585,DVIT 2585,Norris,Vitis hybr.,DAV,"Florida, United States",1564287.0,True,0.38,38.2,1.5,60.2,0.0,0.0,NORRIS,8594,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,FLORIDA W 987,LAKE EMERALD,,M1_exact|M3_umlaut|M4_hybrid_spacing,3,MISMATCH,OK,False
