child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
CASTALIA,MUSCAT OF ALEXANDRIA,Parent 1,SNP,SNP,231,75.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.6
CASTALIA,MONTUA,Parent 2,SNP,SNP,231,75.6,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=75.6
CERCEAL BRANCO,MALVASIA FINA,Parent 1,SNP,SNP,231,66.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.3
CERCEAL BRANCO,TINTA PEREIRA,Parent 2,SNP,SNP,231,66.3,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.3
DONA JOAQUINA,MUSCAT OF ALEXANDRIA,Parent 1,SNP,SNP,231,66.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.7
DONA JOAQUINA,TAMAREZ,Parent 2,SNP,SNP,231,66.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.7
DONZELINHO BRANCO,GOUVEIO,Parent 1,SNP,SNP,231,60.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=60.7
DONZELINHO BRANCO,CAINHO DA TERRA,Parent 2,SNP,SNP,231,60.7,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=60.7
DONZELINHO ROXO,GOUVEIO,Parent 1,SNP,SNP,231,66.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.5
DONZELINHO ROXO,MARUFO,Parent 2,SNP,SNP,231,66.5,Cunha et al. 2020,10.3389/fpls.2020.00127,2020,confirmed,first_molecular_confirmation; Cunha 2020 Front. Plant Sci. 11:127; 231 Vitis SNP markers; LOD=66.5
