alias,canonical_vivc_name,source,match_score
LADIKINAH,LADIKINO,synonym (LADIKINAH),100.0
VERDEJO,VERDEJO BLANCO,synonym (VERDEJO),100.0
SIRVAN SAHI,SHIRVAN SHAKHI,synonym (SIRVAN SAHI),100.0
PINOT ST. GEORGE,NEGRETTE,synonym (PINOT ST. GEORGE),100.0
REFOSCO,TERRANO,synonym (REFOSCO),100.0
ROUSSEAU,PINOT BLANC,synonym (ROUSSEAU),100.0
TINTA MIUDA,GRACIANO,synonym (TINTA MIUDA),100.0
SEYVE VILLARD 5-247,SEYVAL NOIR,synonym (SEYVE VILLARD 5-247),100.0
GALIBERT 1286,GALIBERT COULONDRE   128-  6,synonym (GALIBERT 1286),100.0
WHITE RIESLING,RIESLING WEISS,synonym (RIESLING WHITE),100.0
COUDERC 7120,COUDERC NOIR,synonym (7120 COUDERC),100.0
EARLY CATAWBA,CATAWBA EARLY,prime name,100.0
GALIBERT 238-35,GALICOUL NOIR,synonym (GALIBERT   238- 35),96.7741935483871
CHASSELAS JAUNCE CIRE,CHASSELAS BLANC,synonym (CHASSELAS JAUNE CIRE),97.5609756097561
PETIT MANSENG,MANSENG PETIT BLANC,synonym (PETIT MANSENG),100.0
BONARDA,UVA RARA,synonym (BONARDA),100.0
EARLY BURGUNDY,PORTUGIESER BLAU,synonym (EARLY BURGUNDY),100.0
MUJURETULI,ALEXANDROOULI,synonym (MUJURETULI),100.0
TINTA MADEIRA,MOLAR,synonym (TINTA MADEIRA),100.0
TRINCADEIRO BRANCO,TRINCADEIRA BRANCA,synonym (TRINCADEIRO BRANCO),100.0
BEIHUNG,BEIHONG,synonym (BEIHUNG),100.0
SEIBEL 4643,ROI DES NOIRS,synonym (SEIBEL 4643),100.0
SEIBEL 14.514,DATTIER PRECOCE DE SEIBEL,synonym (SEIBEL 14514),96.0
LANDOT 244,LANDAL,synonym (244 LANDOT),100.0
BERTILLE SEYVE 5563,GENERAL,synonym (BERTILLE SEYVE  5563),100.0
BLUE BOY,COOK,synonym (BLUE BOY),100.0
PAUL REVERE,CONCORD,synonym (PAUL REVERE),100.0
PELOURSIN,PELOURSIN NOIR,synonym (PELOURSIN),100.0
PINOT,PINOT NOIR,synonym (PINOT),100.0
HIBRON BLANC,XYNISTERI,synonym (HIBRON BLANC),100.0
CONSTANTIA,ISABELLA,synonym (CONSTANTIA),100.0
NERELLO CALABRESE,NERELLO MASCALESE,synonym (NERELLO CALABRESE),100.0
TIEFENBACH,RICHTER  44,synonym (TIEFENBACH),100.0
ST. GEORGE,AGIORGITIKO,synonym (ST. GEORGE),100.0
WALLIS GIANT,CONCORD (4N),synonym (WALLIS GIANT),100.0
VARATURA,CONCORD,synonym (VARATURA),100.0
RED ROUMI,HENAB TURKI,synonym (ROUMI RED),100.0
SEEDLESS EMPEROR,EMPEROR SEEDLESS,prime name,100.0
BLACK PRINCE,SCHIAVA GROSSA,synonym (BLACK PRINCE),100.0
CHASSELAS NAPOLEON,BICANE,synonym (CHASSELAS NAPOLEON),100.0
MONUKKA,BLACK MONUKKA,synonym (MONUKKA),100.0
MUSCAT GROS NOIR HATIF,MUSCAT NOIR HATIF,synonym (MUSCAT GROS NOIR HATIF),100.0
ESPARTE,MONASTRELL,synonym (ESPARTE),100.0
MAMMOLO,COJONA,synonym (MAMMOLO),100.0
RULANDER,PINOT NOIR,synonym (RULANDER),100.0
TALIA,SAMARRINHO,synonym (TALIA),100.0
BACO 37-16,DOURIOU,synonym (BACO 37-16),100.0
MILLARDET 219A,MILLARDET ET GRASSET  219 A,synonym (219-A MILLARDET),96.55172413793105
ISLAND BELLE,FREDONIA,synonym (ISLAND BELLE),100.0
CIMINNITA,OLIVETTE BLANCHE,synonym (CIMINNITA),100.0
KHUSAINE RED,KHUSAINE KRASNYI,synonym (KHUSAINE RED),100.0
NIUNAI,KHUSAINE BELYI,synonym (NIUNAI),100.0
