alias,canonical_vivc_name,source,match_score
RIBOLLA,RIBOLLA GIALLA,tier2_auto,95.0
COURBU,COURBU BLANC,tier2_auto,95.0
LOUREIRO,LOUREIRO BLANCO,tier2_auto,95.0
TOPAZ,TOPAZE,tier2_auto,95.0
ZWEIGELT,ZWEIGELTREBE BLAU,tier2_auto,95.0
MUSCAT A PETITS GRAINS,MUSCAT A PETITS GRAINS BLANCS,tier2_auto,95.0
CANAIOLO,CANAIOLO NERO,tier2_auto,95.0
MAUZAC,MAUZAC BLANC,tier2_auto,95.0
ALFROCHEIRO PRETO,ALFROCHEIRO,lacombe_manual,100.0
BRAGHINA,BRAGHINA ALBA,lacombe_manual,95.0
AUBIN,AUBIN VERT,lacombe_manual,95.0
CAINHO,CAINHO DA TERRA,lacombe_manual,90.0
ALIGOTÉ,ALIGOTE,lacombe_manual,100.0
ARINTO DO DÃO,ARINTO,lacombe_manual,90.0
ARINTO DO DAO,ARINTO,lacombe_manual,90.0
SULTANINE,SULTANINA,lacombe_manual,97.0
