child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
AYVAZYANI MUSKATENI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,38.9331878322836,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AYVAZYANI MUSKATENI,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,38.9331878322836,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,BAYAN SHIREI,Parent 1,SSR,SSR,24.0,40.7154870045346,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,CHILAR,Parent 2,SSR,SSR,24.0,40.7154870045346,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,49.6505393094777,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI,KARMRAHYUT,Parent 2,SSR,SSR,24.0,49.6505393094777,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI 2,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,45.654110884805,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI 2,KARMRAHYUT,Parent 2,SSR,SSR,24.0,45.654110884805,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSABA GYOENGYE,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,47.5977610142348,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSABA GYOENGYE,MUSCAT FLEUR DORANGER,Parent 2,SSR,SSR,24.0,47.5977610142348,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSARENCI,KARMRAHYUT,Parent 1,SSR,SSR,24.0,48.8140678055731,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Identification of P1 and P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CSARENCI,SEYANETS S 1262,Parent 2,SSR,SSR,24.0,48.8140678055731,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Identification of P1 and P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
DATTIER DE ST. VALLIER,MUSCAT HAMBURG,Parent 1,SSR,SSR,24.0,53.8183012223837,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: new P1, confirmation  of P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
DATTIER DE ST. VALLIER,VILLARD BLANC,Parent 2,SSR,SSR,24.0,53.8183012223837,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,"Half confirmation of breeder's data: new P1, confirmation  of P2 | Margaryan 2021 Biology 10:1279; 24 nSSR loci"
DUNAVSKI LAZUR,VILLARD BLANC,Parent 1,SSR,SSR,24.0,50.7468263999967,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
DUNAVSKI LAZUR,RKATSITELI,Parent 2,SSR,SSR,24.0,50.7468263999967,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GENOTYPE 20,ANGUR KALAN,Parent 1,SSR,SSR,24.0,40.1472421280451,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 20,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,40.1472421280451,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 21,RIZAMAT,Parent 1,SSR,SSR,24.0,38.7583731401879,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
