child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
ARENI SPITAK,ARENI SEV,Parent 1,SSR,SSR,24.0,52.5378732890753,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ARENI SPITAK,TOZOT,Parent 2,SSR,SSR,24.0,52.5378732890753,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
BERRI SPITAK,HADISI,Parent 1,SSR,SSR,24.0,46.3604321280178,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
BERRI SPITAK,GENOTYPE 16,Parent 2,SSR,SSR,24.0,46.3604321280178,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHILAR,HADISI,Parent 1,SSR,SSR,24.0,53.9474135624409,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHILAR,GENOTYPE 16,Parent 2,SSR,SSR,24.0,53.9474135624409,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHRAGI SPITAK,CHRAGI ERKSER,Parent 1,SSR,SSR,24.0,42.9132987087111,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHRAGI SPITAK,GENOTYPE 60,Parent 2,SSR,SSR,24.0,42.9132987087111,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ESKERI,BLANC D'IRAN,Parent 1,SSR,SSR,24.0,36.9643502418204,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ESKERI,SULTANINA,Parent 2,SSR,SSR,24.0,36.9643502418204,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GORA CHIRINE FAUX,HRUSHAKI,Parent 1,SSR,SSR,24.0,34.8638862051322,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GORA CHIRINE FAUX,SULTANINA,Parent 2,SSR,SSR,24.0,34.8638862051322,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Confirmation of prior publication: Lacombe et al. 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KHATUN KHARDZHI,HADISI,Parent 1,SSR,SSR,24.0,40.5921305524974,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
KHATUN KHARDZHI,VANKI,Parent 2,SSR,SSR,24.0,40.5921305524974,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 81,ARAYATLY GARA UZUM,Parent 1,SSR,SSR,24.0,45.0236831998484,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
GENOTYPE 81,RKATSITELI,Parent 2,SSR,SSR,24.0,45.0236831998484,Margaryan et al. 2021,10.3390/biology10121279,2021,confirmed,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AGARAKI,KARMRAHYUT,Parent 2,SSR,SSR,24.0,17.6790536410199,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AGARAKI,SEYANETS 1563,Parent 1,SSR,SSR,24.0,22.7038101162468,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGENI SEV,ARAKSENI CHERNYI,Parent 1,SSR,SSR,24.0,16.4754262752701,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AIGENI SEV,ARARATI,Parent 2,SSR,SSR,24.0,10.3347860981557,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AIGEZARD,KATTA KURGAN,Parent 1,SSR,SSR,24.0,17.9665152738236,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGEZARD,PARKENT,Parent 2,SSR,SSR,24.0,20.0528539365107,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ALDARA SPITAK,AREVIK SPITAK,Parent 1,SSR,SSR,24.0,16.3680916475954,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
HAYRENIQ,ALPHONSE LAVALLEE,Parent 1,SSR,SSR,24.0,18.2455722476272,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANAHIT,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.1645309107797,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANAHIT,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,18.5842833406397,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANAHIT,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.1645309107797,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
HAYASTAN,ANGUR KALAN,Parent 1,SSR,SSR,24.0,14.0316100084886,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KISHMISH KHISHRAU,ANGUR KALAN,Parent 1,SSR,SSR,24.0,12.5116072085195,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHIK,ANGUR KALAN,Parent 1,SSR,SSR,24.0,6.72531204497146,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVABUYR,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.2066494279151,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AYVAZYANI MUSKATENI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,13.0332217439578,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
HAYRENIQ,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.6747499018703,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSCAT VARDAGUYN AYGAVANI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.0921518732103,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSCAT SPITAK AYGAVANI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,9.91879669142969,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
MUSCAT KARMIR,ANGUR KALAN,Parent 1,SSR,SSR,24.0,10.6753347284105,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ANGUR KALAN,PARKENT,Parent 1,SSR,SSR,24.0,11.7479646930081,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANGUR KALAN,TAIFI ROZOVYI,Parent 1,SSR,SSR,24.0,9.61500610276023,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013; parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSH,ARMENIA,Parent 1,SSR,SSR,24.0,17.1762996306172,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSH,ESKERI,Parent 2,SSR,SSR,24.0,19.756774346043,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHAYUT,KARMRAHYUT,Parent 2,SSR,SSR,24.0,22.4635521509194,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHAYUT,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,15.15825495417,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHIK,ANGUR KALAN,Parent 1,SSR,SSR,24.0,6.72531204497146,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHIK,CSABA GYOENGYE,Parent 2,SSR,SSR,24.0,18.8258069874385,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
APOI KHAGOG,SULTANINA,Parent 1,SSR,SSR,24.0,12.1481376102659,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAGATSI,KHUSAINE BELYI,Parent 1,SSR,SSR,24.0,24.6994518495657,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAGATSI,SULTANINA,Parent 2,SSR,SSR,24.0,12.9401976576234,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAKSENI BELYI,NAZELI KORISOV,Parent 1,SSR,SSR,24.0,26.4648004560509,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
TOKUN,ARAKSENI BELYI,Parent 1,SSR,SSR,24.0,15.7482660425544,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGENI SEV,ARAKSENI CHERNYI,Parent 1,SSR,SSR,24.0,16.4754262752701,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ARAKSENI CHERNYI,SATENI BELYI,Parent 1,SSR,SSR,24.0,16.6542721810425,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013; parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AIGENI SEV,ARARATI,Parent 1,SSR,SSR,24.0,10.3347860981558,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ZVARTNOTS,ARARATI,Parent 1,SSR,SSR,24.0,16.3655721186078,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
TOKUN,ARARATI,Parent 1,SSR,SSR,24.0,10.5372784312037,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
VAGPATI,ARARATI,Parent 1,SSR,SSR,24.0,15.5837911667201,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAYATLY GARA UZUM,LKENY CHERNYI,Parent 1,SSR,SSR,24.0,23.4613699524313,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARAZI,SEYANETS S 484,Parent 1,SSR,SSR,24.0,16.0320142051746,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARENI SEV,HADISI,Parent 1,SSR,SSR,24.0,17.0368337613746,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013; parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARENI SEV,KHARDJI SEV,Parent 1,SSR,SSR,24.0,15.6979371783793,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARENI SPITAK,ARENI SEV,Parent 1,SSR,SSR,24.0,16.0881810788169,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
TIGRANI,ARENI SEV,Parent 1,SSR,SSR,24.0,13.8644975039594,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARENI SPITAK,ARENI SEV,Parent 1,SSR,SSR,24.0,16.0881810788169,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ARENI SPITAK,TOZOT,Parent 2,SSR,SSR,24.0,25.4864618738939,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AREVABUYR,ANGUR KALAN,Parent 1,SSR,SSR,24.0,11.2066494279151,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVABUYR,ITALIA,Parent 2,SSR,SSR,24.0,20.5090276700906,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,No information on the original cross | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVAR,KISHMISH KHISHRAU,Parent 2,SSR,SSR,24.0,21.7772423992512,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVIK SPITAK,ALDARA SPITAK,Parent 1,SSR,SSR,24.0,16.3680916475954,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KARMIR YEREVANI,AREVIK SPITAK,Parent 1,SSR,SSR,24.0,16.3463477866046,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
AREVSHAT,KATTA KURGAN,Parent 1,SSR,SSR,24.0,17.7393709288673,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AREVSHAT,PARKENT,Parent 2,SSR,SSR,24.0,16.4175869018916,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSH,ARMENIA,Parent 1,SSR,SSR,24.0,17.1762996306172,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARMENIA,KHUSAINE BELYI,Parent 1,SSR,SSR,24.0,22.9888129453685,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARPA,KARMRAHYUT,Parent 1,SSR,SSR,24.0,16.8709368324867,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARPA,SEYANETS S 1262,Parent 2,SSR,SSR,24.0,18.5826552069174,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARTAGES,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,12.1243831534821,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARTASHATI KARMIR,KARMRAHYUT,Parent 2,SSR,SSR,24.0,18.5659574970004,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ARTASHATI KARMIR,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,19.3286871790165,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AYVAZYANI MUSKATENI,ANGUR KALAN,Parent 1,SSR,SSR,24.0,13.0332217439578,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AYVAZYANI MUSKATENI,MUSCAT HAMBURG,Parent 2,SSR,SSR,24.0,16.7511843897133,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,BAYAN SHIREI,Parent 1,SSR,SSR,24.0,14.0133403297411,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,CHILAR,Parent 2,SSR,SSR,24.0,15.8110220906349,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
BAGARANI,BAYAN SHIREI,Parent 1,SSR,SSR,24.0,16.6387828727508,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,BAYAN SHIREI,Parent 1,SSR,SSR,24.0,14.0133403297411,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
BAYAN SHIREI,BAGARANI,Parent 1,SSR,SSR,24.0,16.6387828727508,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
MUSHKETNYI,BEKALNY,Parent 1,SSR,SSR,20.0,10.2014830921429,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
BERRI SPITAK,HADISI,Parent 1,SSR,SSR,24.0,15.2562352331207,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
ESKERI,BLANC D'IRAN,Parent 1,SSR,SSR,20.0,10.0506202799181,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
BLANC D'IRAN,MSKHALI,Parent 1,SSR,SSR,20.0,7.43768590236398,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013; parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KARMRAHYUT,BOUSCHET PETIT,Parent 1,SSR,SSR,24.0,18.1409792183619,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KARMRASHAT,BOUSCHET PETIT,Parent 1,SSR,SSR,24.0,16.9629397733468,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ZORKA,CHAOUCH ROZOVYI,Parent 1,SSR,SSR,23.0,18.5433600782297,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI,KARMRAHYUT,Parent 2,SSR,SSR,24.0,22.3720136755497,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,18.7606045699816,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI 2,KARMRAHYUT,Parent 2,SSR,SSR,24.0,20.3364355544231,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHARENTSI 2,SEYANETS S 1262,Parent 1,SSR,SSR,24.0,16.3301968741461,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
AZATENI,CHILAR,Parent 1,SSR,SSR,24.0,15.8110220906349,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CHILAR,HADISI,Parent 1,SSR,SSR,24.0,19.1892160578949,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHRAGI SPITAK,CHRAGI ERKSER,Parent 1,SSR,SSR,24.0,15.9379356834153,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
CHRAGI SPITAK,CHRAGI ERKSER,Parent 1,SSR,SSR,24.0,15.9379356834153,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
KUTUZOVSKII,COARNA NEAGRA,Parent 1,SSR,SSR,24.0,14.7003348791834,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSHIK,CSABA GYOENGYE,Parent 1,SSR,SSR,24.0,18.8258069874385,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSABA GYOENGYE,MADELEINE ANGEVINE,Parent 1,SSR,SSR,24.0,19.3639086154364,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSABA GYOENGYE,MUSCAT FLEUR DORANGER,Parent 2,SSR,SSR,24.0,20.3126929056417,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data. Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSARENCI,KARMRAHYUT,Parent 1,SSR,SSR,24.0,22.4710220670623,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
CSARENCI,SEYANETS S 1262,Parent 2,SSR,SSR,24.0,16.647367181571,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
DATTIER DE ST. VALLIER,MUSCAT HAMBURG,Parent 1,SSR,SSR,24.0,11.3894947551595,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
DATTIER DE ST. VALLIER,VILLARD BLANC,Parent 2,SSR,SSR,24.0,30.5827244819387,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
KUTUZOVSKII,DATTIER DE ST. VALLIER,Parent 1,SSR,SSR,24.0,27.4201411628547,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
DUNAVSKI LAZUR,RKATSITELI,Parent 2,SSR,SSR,24.0,10.5120454682336,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
DUNAVSKI LAZUR,VILLARD BLANC,Parent 1,SSR,SSR,24.0,30.8520542890669,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ERAZ,SEYANETS   3-14-15,Parent 1,SSR,SSR,23.0,30.4308487397591,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ANUSH,ESKERI,Parent 1,SSR,SSR,24.0,19.756774346043,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Invalidation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ESKERI,BLANC D'IRAN,Parent 2,SSR,SSR,20.0,10.0506202799181,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
ESKERI,SULTANINA,Parent 1,SSR,SSR,24.0,17.7811814822465,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of prior publication: Lacombe et al 2013 | Margaryan 2021 Biology 10:1279; 24 nSSR loci
USHAHAS NAZELI,ESKERI,Parent 1,SSR,SSR,24.0,22.5091511297893,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Confirmation of breeder's data | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GARA SHANY,SULTANINA,Parent 1,SSR,SSR,24.0,15.8919899635463,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GARAN DMAK,HADISI,Parent 1,SSR,SSR,24.0,21.5064041132205,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
GENOTYPE 100,KHAGOG SEV 2,Parent 1,SSR,SSR,23.0,12.0753207188337,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,parent-offspring direction unknown | Margaryan 2021 Biology 10:1279; 24 nSSR loci
BERRI SPITAK,GENOTYPE 16,Parent 1,SSR,SSR,24.0,20.1972984325761,Margaryan et al. 2021,10.3390/biology10121279,2021,probable,Margaryan 2021 Biology 10:1279; 24 nSSR loci | first_molecular_confirmation
