child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
UNKNOWN SRB #07,LISZTES FEHER,,SNP (Vitis18K) + SSR,SNP+SSR,224,74.46,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 2; SSRs: 7, mismatches: 0; Cross: -; Previously: This work"
UNKNOWN SRB #09,ZIMMETTRAUBE WEISS,,SNP (Vitis18K) + SSR,SNP+SSR,217,68.67,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 217, mismatches: 0; SSRs: 7, mismatches: 0; Cross: -; Previously: This work"
UNKNOWN SRB #09,HEUNISCH WEISS,,SNP (Vitis18K) + SSR,SNP+SSR,217,68.67,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 217, mismatches: 0; SSRs: 7, mismatches: 0; Cross: -; Previously: This work"
UNKNOWN SRB #10,TERRANO,,SNP (Vitis18K) + SSR,SNP+SSR,224,75.94,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 0; SSRs: 7, mismatches: 0; Cross: -; Previously: This work"
UNKNOWN SRB #10,PROKUPAC,,SNP (Vitis18K) + SSR,SNP+SSR,224,75.94,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 224, mismatches: 0; SSRs: 7, mismatches: 0; Cross: -; Previously: This work"
BATTTRAUBE,PROKUPAC,,SNP (Vitis18K),SNP,149,32.04,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 149, mismatches: 0; direction not specified (duo)"
BELOVINA,COARNA ALBA,,SNP (Vitis18K),SNP,214,29.17,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 214, mismatches: 0; direction not specified (duo)"
BERBECEL,UNKNOWN SRB #05,,SNP (Vitis18K) + SSR,SNP+SSR,188,28.06,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 188, mismatches: 0; SSRs: 7, mismatches: 0; direction not specified (duo)"
BUDAI ZOELD,FURMINT,,SNP (Vitis18K),SNP,225,36.62,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 225, mismatches: 0; direction not specified (duo)"
FERDINAND DE LESSEPS,MUSCAT HAMBURG,,SNP (Vitis18K) + SSR,SNP+SSR,213,28.16,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 213, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
GRK CRNI,VULPEA,,SNP (Vitis18K) + SSR,SNP+SSR,221,25.85,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 221, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
KADARKA FEHER,GALBENA URIASA,,SNP (Vitis18K),SNP,141,32.11,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 141, mismatches: 0; direction not specified (duo)"
KADARKA SRB,HEUNISCH WEISS,,SNP (Vitis18K) + SSR,SNP+SSR,217,34.88,Tello et al. 2024,10.3389/fpls.2024.1391679,2024,confirmed,"SNPs: 217, mismatches: 0; SSRs: 9, mismatches: 0; Previously: This work; direction not specified (duo)"
