child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
Sultanine,Aragatzi,,SNP (10K genome-wide),SNP,10184,1621,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1621; mismatches=2/10184; KING kinship=0.2345; IBS0=3; Previously: Lacombe et al. 2013
Aragatzi,Sultanine,,SNP (10K genome-wide),SNP,10184,1621,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1621; mismatches=2/10184; KING kinship=0.2345; IBS0=3; Previously: Lacombe et al. 2013
Sultanine,Black monukka,,SNP (10K genome-wide),SNP,10204,1915,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1915; mismatches=2/10204; KING kinship=0.2614; IBS0=3; Previously: Lacombe et al. 2013
Black monukka,Sultanine,,SNP (10K genome-wide),SNP,10204,1915,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1915; mismatches=2/10204; KING kinship=0.2614; IBS0=3; Previously: Lacombe et al. 2013
Sultanine,Bayad (non-identified),,SNP (10K genome-wide),SNP,10143,1326,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1326; mismatches=1/10143; KING kinship=0.2325; IBS0=3
Bayad (non-identified),Sultanine,,SNP (10K genome-wide),SNP,10143,1326,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1326; mismatches=1/10143; KING kinship=0.2325; IBS0=3
Sumoll tinto,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,1079,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1079; mismatches=0/10207; KING kinship=0.2623; IBS0=3; Previously: Lacombe et al. 2013
Gibi = Hebén,Sumoll tinto,,SNP (10K genome-wide),SNP,10207,1079,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1079; mismatches=0/10207; KING kinship=0.2623; IBS0=3; Previously: Lacombe et al. 2013
Sylvaner,Portugais bleu,,SNP (10K genome-wide),SNP,10207,1526,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1526; mismatches=1/10207; KING kinship=0.2549; IBS0=3; Previously: Lacombe et al. 2013
Portugais bleu,Sylvaner,,SNP (10K genome-wide),SNP,10207,1526,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1526; mismatches=1/10207; KING kinship=0.2549; IBS0=3; Previously: Lacombe et al. 2013
Syrah,Mondeuse blanche,,SNP (10K genome-wide),SNP,10204,1439,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1439; mismatches=2/10204; KING kinship=0.2467; IBS0=3; Previously: Lacombe et al. 2013
Mondeuse blanche,Syrah,,SNP (10K genome-wide),SNP,10204,1439,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1439; mismatches=2/10204; KING kinship=0.2467; IBS0=3; Previously: Lacombe et al. 2013
Sytanich,Tressot,,SNP (10K genome-wide),SNP,10156,1935,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1935; mismatches=0/10156; KING kinship=0.2729; IBS0=3; Previously: Lacombe et al. 2013
Tressot,Sytanich,,SNP (10K genome-wide),SNP,10156,1935,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1935; mismatches=0/10156; KING kinship=0.2729; IBS0=3; Previously: Lacombe et al. 2013
Tarragoní,Gibi = Hebén,,SNP (10K genome-wide),SNP,10207,1039,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1039; mismatches=0/10207; KING kinship=0.2257; IBS0=3; Previously: Lacombe et al. 2013
Gibi = Hebén,Tarragoní,,SNP (10K genome-wide),SNP,10207,1039,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1039; mismatches=0/10207; KING kinship=0.2257; IBS0=3; Previously: Lacombe et al. 2013
Teinturier,Petit Bouschet,,SNP (10K genome-wide),SNP,10207,1441,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1441; mismatches=0/10207; KING kinship=0.2502; IBS0=3; Previously: Lacombe et al. 2013
Petit Bouschet,Teinturier,,SNP (10K genome-wide),SNP,10207,1441,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1441; mismatches=0/10207; KING kinship=0.2502; IBS0=3; Previously: Lacombe et al. 2013
Tempranilla blanca = Santa Magdalena,Madeleine Salomon = Agostenga blanc,,SNP (10K genome-wide),SNP,10203,1217,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1217; mismatches=2/10203; KING kinship=0.2409; IBS0=3; Previously: Lacombe et al. 2013
Madeleine Salomon = Agostenga blanc,Tempranilla blanca = Santa Magdalena,,SNP (10K genome-wide),SNP,10203,1217,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1217; mismatches=2/10203; KING kinship=0.2409; IBS0=3; Previously: Lacombe et al. 2013
Tempranillo,Albillo Mayor = Picadillo,,SNP (10K genome-wide),SNP,10172,1570,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1570; mismatches=0/10172; KING kinship=0.2329; IBS0=3; Previously: Ibanez et al. 2012 & Lacombe et al. 2013
Albillo Mayor = Picadillo,Tempranillo,,SNP (10K genome-wide),SNP,10172,1570,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1570; mismatches=0/10172; KING kinship=0.2329; IBS0=3; Previously: Ibanez et al. 2012 & Lacombe et al. 2013
Tempranillo,Benedicto,,SNP (10K genome-wide),SNP,10202,1572,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1572; mismatches=0/10202; KING kinship=0.2834; IBS0=3; Previously: Ibanez et al. 2012
Benedicto,Tempranillo,,SNP (10K genome-wide),SNP,10202,1572,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1572; mismatches=0/10202; KING kinship=0.2834; IBS0=3; Previously: Ibanez et al. 2012
Teta de Vaca = De Cuerno,Orlovi nokti,,SNP (10K genome-wide),SNP,10207,1495,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1495; mismatches=1/10207; KING kinship=0.1964; IBS0=3; Previously: Lacombe et al. 2013
Orlovi nokti,Teta de Vaca = De Cuerno,,SNP (10K genome-wide),SNP,10207,1495,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1495; mismatches=1/10207; KING kinship=0.1964; IBS0=3; Previously: Lacombe et al. 2013
Tinta Madeira,Rufete,,SNP (10K genome-wide),SNP,10206,1141,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1141; mismatches=3/10206; KING kinship=0.2501; IBS0=3; Previously: Lacombe et al. 2013
Rufete,Tinta Madeira,,SNP (10K genome-wide),SNP,10206,1141,Laucou et al. 2018,10.1371/journal.pone.0192540,2018,probable,FAMOZ LOD=1141; mismatches=3/10206; KING kinship=0.2501; IBS0=3; Previously: Lacombe et al. 2013
