child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
KERNER,RIESLING,Parent 1,SSR,SSR,30,2.920e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
KERNER,SCHIAVA GROSSA,Parent 2,SSR,SSR,30,2.920e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
MALVASIA NERA DI BRINDISI 2,MALVASIA BIANCA LUNGA,Parent 1,SSR,SSR,31,3.650e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Crespan et al 2008.; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
MALVASIA NERA DI BRINDISI 2,NEGROAMARO,Parent 2,SSR,SSR,31,3.650e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported also in Crespan et al 2008.; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
MANZONI BIANCO,PINOT NERO,Parent 1,SSR,SSR,31,3.530e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Cancellier and Roncador I 1997; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
MANZONI BIANCO,RIESLING,Parent 2,SSR,SSR,31,3.530e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Cancellier and Roncador I 1997; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
MANZONI ROSA,TRAMINER ROT,Parent 1,SSR,SSR,30,2.880e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Cancellier and Roncador I 1997; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
MANZONI ROSA,TREBBIANO TOSCANO,Parent 2,SSR,SSR,30,2.880e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Cancellier and Roncador I 1997; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
MATILDE,CARDINAL,Parent 1,SSR,SSR,28,3.220e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=1
MATILDE,ITÁLIA,Parent 2,SSR,SSR,28,3.220e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=1
MICHELE PALIERI,ALPHONSE LAVALLÉE,Parent 1,SSR,SSR,31,3.300e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
MICHELE PALIERI,PANSE ROSA DI MALAGA,Parent 2,SSR,SSR,31,3.300e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
NEBBIERA,BARBERA,Parent 1,SSR,SSR,29,3.180e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
NEBBIERA,NEBBIOLO,Parent 2,SSR,SSR,29,3.180e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
NIGRA,MERLOT,Parent 1,SSR,SSR,30,2.296e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
NIGRA,BARBERA,Parent 2,SSR,SSR,30,2.296e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,Confirmed pedigree; Reported in VIVC; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
PERLETTE,REGINA DEI VIGNETI,Parent 1,SSR,SSR,33,4.760e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,Confirmed pedigree; Reported also in Ibáñez et al 2009; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
