child_variety,parent_variety,parent_role,evidence_type,marker_type,n_markers,lod_score,study_reference,doi,confirmed_year,confidence_level,notes
CHENIN BLANC,SAUVIGNON,Parent 1,SSR,SSR,8,2.150e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 8 SSR loci; mismatches=0
CHENIN BLANC,TRAMINER ROT,Parent 2,SSR,SSR,8,2.150e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 8 SSR loci; mismatches=0
CIAVARELLA FRANCESE,S GIUSEPPE NERO,Parent 1,SSR,SSR,27,2.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 27 SSR loci; mismatches=2
CIAVARELLA FRANCESE,PAMPANARO GRANDE,Parent 2,SSR,SSR,27,2.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 27 SSR loci; mismatches=2
DURAGUZZA,BOGGIONE ROSSO,Parent 1,SSR,SSR,30,2.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
DURAGUZZA,UVA DEI VECCHI,Parent 2,SSR,SSR,30,2.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
GAGLIOPPO,SANGIOVESE,Parent 1,SSR,SSR,31,3.210e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
GAGLIOPPO,MANTONICO BIANCO,Parent 2,SSR,SSR,31,3.210e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
GAMBUGLIANA,FULIGNO,Parent 1,SSR,SSR,28,2.270e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=1
GAMBUGLIANA,UVA GATTA,Parent 2,SSR,SSR,28,2.270e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 28 SSR loci; mismatches=1
GAROFANA,TREBBIANO TOSCANO,Parent 1,SSR,SSR,12,2.160e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 12 SSR loci; mismatches=1
GAROFANA,MOSCATO VIOLETTO,Parent 2,SSR,SSR,12,2.160e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 12 SSR loci; mismatches=1
GRILLONE,FORTANA,Parent 1,SSR,SSR,31,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
GRILLONE,UVA ACETO,Parent 2,SSR,SSR,31,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
IMPIGNO,BOMBINO BIANCO,Parent 1,SSR,SSR,33,2.940e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=2
IMPIGNO,QUAGLIANO,Parent 2,SSR,SSR,33,2.940e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=2
MALVASIA NERA DI BOLZANO,PERERA,Parent 1,SSR,SSR,11,2.820e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 11 SSR loci; mismatches=2
MALVASIA NERA DI BOLZANO,SCHIAVA GENTILE,Parent 2,SSR,SSR,11,2.820e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 11 SSR loci; mismatches=2
MARCHIONE 1,RAGUSANO,Parent 1,SSR,SSR,10,2.540e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=1
MARCHIONE 1,MONTONICO BIANCO,Parent 2,SSR,SSR,10,2.540e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=1
MOSCATELLO SELVATICO,BOMBINO BIANCO,Parent 1,SSR,SSR,10,4.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=0
MOSCATELLO SELVATICO,MUSCAT OF ALEXANDRIA,Parent 2,SSR,SSR,10,4.040e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 10 SSR loci; mismatches=0
MOSCATO DI SPAGNA,DURAGUZZA,Parent 1,SSR,SSR,32,1.640e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=1
MOSCATO DI SPAGNA,SCACCO,Parent 2,SSR,SSR,32,1.640e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=1
MOSCATO VIOLETTO,MUSCAT DALSACE ROSE,Parent 1,SSR,SSR,13,2.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 13 SSR loci; mismatches=2
MOSCATO VIOLETTO,DURAGUZZA,Parent 2,SSR,SSR,13,2.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 13 SSR loci; mismatches=2
MOSTOSA,RAGUSANO,Parent 1,SSR,SSR,32,1.940e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=2
MOSTOSA,UVA FEMMINA,Parent 2,SSR,SSR,32,1.940e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=2
MUSCAT OF ALEXANDRIA,MUSCAT BLANC A PETITS GRAINS,Parent 1,SSR,SSR,30,4.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
MUSCAT OF ALEXANDRIA,AXINA DE TRES BIAS,Parent 2,SSR,SSR,30,4.110e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
NERELLO CALABRESE,SANGIOVESE,Parent 1,SSR,SSR,32,3.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=1
NERELLO CALABRESE,MANTONICO BIANCO,Parent 2,SSR,SSR,32,3.570e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 32 SSR loci; mismatches=1
NEYRET,MAYOLET,Parent 1,SSR,SSR,31,3.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
NEYRET,ROUSSIN,Parent 2,SSR,SSR,31,3.090e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
OSERIE DU FARODE,BICANE,Parent 1,SSR,SSR,31,3.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
OSERIE DU FARODE,CHASSELAS DORATO,Parent 2,SSR,SSR,31,3.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=1
PORCINA BIANCA,BIANCONE DELL ANTELLA,Parent 1,SSR,SSR,29,2.350e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
PORCINA BIANCA,CARRICANTE,Parent 2,SSR,SSR,29,2.350e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
S LUNARDO,ALBANA BORDINI,Parent 1,SSR,SSR,30,1.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
S LUNARDO,BIANCOLELLA,Parent 2,SSR,SSR,30,1.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
SALVATICO,CASENTINO,Parent 1,SSR,SSR,26,2.870e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 26 SSR loci; mismatches=0
SALVATICO,LUGLIOLA ROSSA,Parent 2,SSR,SSR,26,2.870e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 26 SSR loci; mismatches=0
SAN PIETRO,MOSCATO BIANCO,Parent 1,SSR,SSR,33,3.450e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
SAN PIETRO,BICANE,Parent 2,SSR,SSR,33,3.450e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
SANTA MARIA,VERNACCIA DI ORISTANO,Parent 1,SSR,SSR,31,1.660e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
SANTA MARIA,PENSICATO,Parent 2,SSR,SSR,31,1.660e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 31 SSR loci; mismatches=2
SCACCO,FORCESE D ASCOLI,Parent 1,SSR,SSR,30,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
SCACCO,QUAIARA,Parent 2,SSR,SSR,30,2.460e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=1
SELEZIONE BRUNI 179,PECCOLO ROSSO,Parent 1,SSR,SSR,30,1.070e+16,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
SELEZIONE BRUNI 179,PECCOLO ROSSO,Parent 2,SSR,SSR,30,1.070e+16,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=0
UVA ACETO,GRILLONE,Parent 1,SSR,SSR,29,2.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
UVA ACETO,SCACCO,Parent 2,SSR,SSR,29,2.560e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=2
UVA TOSCA,CREPALLOCCHI,Parent 1,SSR,SSR,30,1.590e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
UVA TOSCA,SCHIAVA GROSSA,Parent 2,SSR,SSR,30,1.590e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,probable,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 30 SSR loci; mismatches=2
VALENTINO,PASSAU,Parent 1,SSR,SSR,33,2.750e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
VALENTINO,NIBIO,Parent 2,SSR,SSR,33,2.750e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 33 SSR loci; mismatches=1
VERDELLO DI BRACCIANO,NOCCHIANELLO PELOSO SPIGA GRANO,Parent 1,SSR,SSR,29,2.450e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=1
VERDELLO DI BRACCIANO,VERDICCHIO BIANCO,Parent 2,SSR,SSR,29,2.450e+15,Cipriani et al. 2010,10.1007/s00122-010-1411-9,2010,confirmed,first_molecular_confirmation; New pedigree discovery; ; Cipriani 2010 TAG 121:1569; 29 SSR loci; mismatches=1
