vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
TOURIGA NACIONAL,12594,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,True,True,11,,,,,,,,,,,Touriga Nacional,DVIT_8185,M1_exact|M3_umlaut|M4_hybrid_spacing,True,MORTAGUA; TOURIGA,True,
BLACK MOROCCO,3402,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,False,True,10,,,,,,,,,,,Black Morocco,DVIT_360,M1_exact|M3_umlaut|M4_hybrid_spacing,True,BLACK DAMASCUS,True,
CINSAUT,2672,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,False,False,True,True,True,True,False,False,True,False,False,True,False,True,10,,,,,,,,,,,Cinsaut,DVIT_379,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
FLORA,4146,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,ROUGE,VITIS VINIFERA LINNE SUBSP. SATIVA (DE CANDOLLE) HEGI,VITIS LABRUSCA LINNE,True,False,True,False,True,True,False,True,True,False,True,True,False,False,True,False,True,10,,,,,,,,,,,Flora,DVIT_720,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
FURMINT,4292,HUNGARY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,ALBA IMPUTOTATO,HEUNISCH WEISS,True,False,True,False,True,True,False,True,True,True,False,True,False,False,True,False,True,10,,,,,,,,,,,Furmint,DVIT_728,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
LAGREIN,6666,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,SCHIAVA GENTILE,TEROLDEGO,True,False,True,True,False,True,True,True,False,False,False,True,False,False,True,True,True,10,,,,,,,,,,,Lagrein,DVIT_897,M1_exact|M3_umlaut|M4_hybrid_spacing,True,LAGRAIN,True,
RUBY SEEDLESS,10314,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROUGE,EMPEROR,SULTANA MOSCATA,True,False,True,False,True,True,True,False,False,True,True,True,False,False,False,True,True,10,,,,,,,,,,,Ruby Seedless,DVIT_8152,M1_exact|M3_umlaut|M4_hybrid_spacing,False,,False,
SANGIOVESE,10680,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,True,True,True,False,False,True,True,False,True,False,True,False,False,False,True,True,10,,,,,,,,,,,Sangiovese,DVIT_8157,M1_exact|M3_umlaut|M4_hybrid_spacing,True,BRUNELLO; MORELLINO; PRUGNOLO GENTILE; SANGIOVESE GROSSO,True,
BLACK MONUKKA,17452,UNITED STATES OF AMERICA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,ICHKIMAR,SULTANINA,True,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,9,,,,,,,,,,,Black Monukka,DVIT_359,M1_exact|M3_umlaut|M4_hybrid_spacing,True,MONUKKA; RUSSIAN SEEDLESS,True,
CHAOUCH BLANC,10196,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,True,True,False,True,False,True,True,True,False,False,False,False,True,False,True,9,,,,,,,,,,,,,,False,,False,
