vivc_prime_name,vivc_no,vivc_origin,vivc_species,vivc_color,vivc_parent1,vivc_parent2,in_passport,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,n_sources,name_in_marker_support,name_in_vivc_confirmed,name_in_constantini_2026,name_in_myles_2011,name_in_lacombe_2013,name_in_oliveira_2020,name_in_lac_emanuelli_2020,name_in_laucou_2018,name_in_liang_2019,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id,grin_match_methods,is_alias,aliases,in_alias_map,passport_candidate
BURGHISANA,1899,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURGUND 63 MN,23122,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURGUND NOIR,22230,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,HEUNISCH WEISS,?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURGUNDER GROSS,24704,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,SAVAGNIN = TRAMINER,?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURIAN BIANCO,26341,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURLINGTON,1902,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURNI KISIL,1906,"SUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)",VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURRA VOLCANICA,26548,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURROWS 42 C,1908,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CONCORD,IONA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURTIN NERO,1909,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BURTON EARLY,1910,UNITED STATES OF AMERICA,VITIS LABRUSCA LINNÉ,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUSH,1912,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,HERBEMONT,VITIS AESTIVALIS VAR. LINCECUMII BUCKLEY,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUSHBERG,1913,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,WILLIE,AESTIVALIS,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUSHKANSKII KRASNYI,41326,,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUSTAN,26204,ISRAEL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUSUIOACA DE IGHIU,27061,ROMANIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTAGAL,10550,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTANI,13885,IRAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTKO,1915,GEORGIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTOROVICKA,1917,YUGOSLAVIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTTANGARA,17018,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTTRIO ROSA,24449,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROSE,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUTUC ALB,27056,ROMANIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZA,1918,GEORGIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,GABASHA,RECONSTRUCTED GENOTYPE 51 (GEORGIA),True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZAGI BOKU BEYAZ,23754,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZAGI BOKU SIYAH,23753,TURKEY,,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZIAS AS 33,26988,ROMANIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZIAS ASH,27039,ROMANIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZIAS TH,27003,ROMANIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BUZZOLOTO BIANCO,1919,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BV 19-132,16631,CZECH REPUBLIC,VITIS INTERSPECIFIC CROSSING,ROSE,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BV 29- 19-01,26813,CZECH REPUBLIC,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BV 35- 10-10,26812,CZECH REPUBLIC,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BV 7- 6- 2,25338,CZECH REPUBLIC,VITIS INTERSPECIFIC CROSSING,BLANC,MALVERINA,VITIS AMURENSIS X PINOT GRIS,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BWM,42180,,,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BY GEORGE,26225,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,RUBY CABERNET,GRINSTEAD 3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BYURAKANI,5732,ARMENIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,TAVKVERI,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BZOUL AWDA,27211,MOROCCO,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROSE,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
BZVANURA,1920,GEORGIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
C 3- 53,40358,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABALLETE,1921,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,PEDRO XIMENEZ,GARRIDO 1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABARET NOIR,23232,SWITZERLAND,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABASMA ALBA,1922,MOLDOVA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABELHUDA,1924,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERINTA,14328,ARGENTINA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,HEBEN,RUBY CABERNET,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERLOT,25987,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNELLO,25981,SWITZERLAND,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET FRANC,GAMARET,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET BORDO,22814,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET CANTOR,20008,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CHANCELLOR,SOLARIS,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET CARBON,20007,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,BRONNER,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET CAROL,20006,GERMANY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,SOLARIS,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET CORTONA,26918,SLOVAKIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET DIANE,24789,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,CABERNET SAUVIGNON,CYNTHIANA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET DORE,25417,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,BLANC,CABERNET SAUVIGNON,CYNTHIANA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET EIDOS,24896,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,BIANCA,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET FOCH,26919,SWITZERLAND,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,MARECHAL FOCH,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET HANDIA,20993,FRANCE,,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET LION,17618,JAPAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,KOSHU SANJAKU,CABERNET SAUVIGNON,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET MORAVIA,17104,CZECH REPUBLIC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET FRANC,ZWEIGELTREBE BLAU,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET PFEFFER,40682,UNITED STATES OF AMERICA,,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET SAUVIGNON X PINOT MEUNIER DWARF,25974,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET STELLA,26750,AUSTRIA,,NOIR,CABERNET SAUVIGNON,EGER 1,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABERNET VOLOS,24897,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,CABERNET SAUVIGNON,KOZMA 20- 3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABORA BASSA,1931,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,ALICANTE HENRI BOUSCHET,CASTELAO,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABOT,1932,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,VITIS LABRUSCA LINNE,MUSCAT A PETITS GRAINS ROUGES,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABRAL,1934,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABRIEL,1935,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABRITALHO,1936,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CABRUSINA,26764,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACAGINE,1938,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACAMOSCA,1940,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACATO DI MOSCHE,14210,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACAZZARA BIANCA,25000,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCIADEBITI,14211,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCIATOSTA,40470,,,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCINELLA,14533,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCINELLO,14534,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCIO DI FERMO BIANCO,1941,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACCIO NERO,1943,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACHE,14473,UNITED STATES OF AMERICA,VITIS RUBRA MICHAUX,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACHETE,40011,,,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACHUDO,1945,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CACHUDO PRETO,1946,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADAMON 1,1948,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEYVE VILLARD 12- 401,SEIBEL 5813,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADAMON 2,1949,FRANCE,VITIS INTERSPECIFIC CROSSING,ROUGE,SEYVE VILLARD 10- 319,TERRAMON OVALE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADDO,18989,UNITED STATES OF AMERICA,VITIS INTERSPECIFIC CROSSING,NOIR,BETA,AGAWAM,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADELEIRA,1951,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADENET BLANC,1952,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADET,1953,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADILLON DORE,1954,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,VILLARD BLANC,SEMILLON,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADILLON GROS,1955,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,VILLARD BLANC,SEMILLON,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADILLON TARDIF (NON IDENTIFIED),41026,,VITIS INTERSPECIFIC CROSSING,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADOULAS 1,1958,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADOULAS 2,1959,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADOULENC 3,1960,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CADRETE,1961,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,HEBEN,?,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAFER UEZUEMUE,23751,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROSE,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAFERI,1963,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAFFELLE,1964,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAGAMBRAGA,17213,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,ROSE,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAGLIONA,20994,ITALY,,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAGNARA,1967,ITALY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAGNINA,40853,,,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAGNULARI BASTARDO,20995,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAHARAHO CAFFEIRATTE,16066,,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,BLANC,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLAN NOIR,1971,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,NOIR,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 108,19809,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,COUDERC 87-115,OISEAU ROUGE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 112,19810,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,COUDERC 87-115,OISEAU ROUGE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 113,1974,FRANCE,VITIS INTERSPECIFIC CROSSING,BLANC,COUDERC 87-115,OISEAU ROUGE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 152,19812,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 1,LACOSTE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 153,19851,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 1,LACOSTE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 154,19852,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 1,LACOSTE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
CAILLE 159,19853,FRANCE,VITIS INTERSPECIFIC CROSSING,NOIR,SEIBEL 1,LACOSTE,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1,,,,,,,,,,,,,,False,,False,
