vivc_prime_name,n_sources,passport_candidate,in_marker_support,in_vivc_confirmed,in_constantini_2026,in_myles_2011,in_lacombe_2013,in_oliveira_2020,in_lac_emanuelli_2020,in_laucou_2018,in_liang_2019,in_grin_pedigree,in_grin_alignment,in_ssr_vivc,in_ssr_migliaro,in_ssr_lacombe,in_ssr_oliveira,in_node_profile,name_in_lacombe_2013,name_in_laucou_2018,name_in_lac_emanuelli_2020,name_in_grin_pedigree,name_in_grin_alignment,grin_accession_id
1331 PAULSEN,1,PAULSEN 1331,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
143 B MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
1447 PAULSEN,1,PAULSEN 1447,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
16-107 PROSPERI,1,PROSPERI 16- 109,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
16-108 PROSPERI,1,PROSPERI 16- 109,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
16-109 PROSPERI,1,PROSPERI 16- 109,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
161.49 COUDERC,1,COUDERC 90- 38,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
1613 COUDERC,1,COUDERC 1613,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
17-37 MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
196-17 CASTEL,1,CASTEL 2812,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
202-4 MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
205 RUGGERI,1,RUGGERI 225,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
215-1 CASTEL,1,CASTEL 2812,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
216-3 CASTEL,1,CASTEL 2812,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
227-1 CASTEL,1,CASTEL 2812,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
228-1 CASTEL,1,CASTEL 2812,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
240 RUGGERI,1,RUGGERI 225,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
28‐30,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
3,1,3138,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
300 RUGGERI,1,RUGGERI 225,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
31 RICHTER,1,RICHTER 31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
33 ECOLE DE MONTPELLIER,1,ECOLE MONTPELLIER 142,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
3306 COUDERC,1,COUDERC 3306,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
3309 COUDERC,1,COUDERC 3309,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
333 ECOLE DE MONTPELLIER OR TISSERAND,1,ECOLE MONTPELLIER 142,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
34 ECOLE DE MONTPELLIER,1,ECOLE MONTPELLIER 142,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
372,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
40 LET OKTYABRYA,1,SOROK LYET OKTYABRYA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
41 B MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
420 A MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
420 B MILLARDET ET DE GRASSET,1,MILLARDET ET GRASSET 434,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
420A,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
44 RICHTER,1,RICHTER 31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
57 RICHTER,1,RICHTER 31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
6736 CASTEL,1,CASTEL 6736,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
7605 CASTEL,1,CASTEL 7605,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
764 PAULSEN,1,PAULSEN 781,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
775 PAULSEN,1,PAULSEN 781,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
779 PAULSEN,1,PAULSEN 781,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
782 PAULSEN,1,PAULSEN 781,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
93-5 C,1,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
99 RICHTER,1,RICHTER 31,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
?,1,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
ACCESSION NAME #: MISLABELING NAME,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ACHLADI (PERGOLESE DI TIVOLI),1,ACHLADI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ADISI,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AFUZ ALI,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AGAT DONSKII,1,AGAT DONSKOI,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AGHIORGITIKO,1,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
AGLIANICO ANTICO,1,AGLIANICO ANTICO TITO,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
AGOSTENGA ROSSA = PIROVANO 14 BELLINO,1,AGOSTENGA ROSSA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AHMEH SAL APYRÈNE,1,AHMEH SAL APYRENE,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
AIRÉN,1,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
ALBA IMPUTATATO,1,LABRUSCA ALBA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALBA IMPUTATO,1,LABRUSCA ALBA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALBANA DEL PANIERE,1,ALBANA ROSA,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ALBILLO DE ALBACETE,1,ALBILLO CRIOLLO,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
ALBILLO DE GRENADA,1,ALBILLO CRIOLLO,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ALBILLO MAYOR = PICADILLO,1,ALBILLO MAYOR,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
ALEÁTICO #,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ALHAGI,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALICANE BOUSCHET,1,MUSCAT BOUSCHET,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALICANTE (FALSE),1,ALICANTE BOUSCHET A LONGUES GRAPPES,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ALICANTE BOUSCHET  7,1,ALICANTE BOUSCHET A LONGUES GRAPPES,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
ALICANTE HENRI BOUSHET,1,ALICANTE HENRI BOUSCHET,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
ALII TIERSKII,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALLARÉN,1,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
ALLELES:,1,,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,,,,,,
ALMEIDA 17‐48‐1,1,LEAO FERREIRA DA ALMEIDA 34-49- 48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALMEIDA 34‐49‐76,1,LEAO FERREIRA DA ALMEIDA 34-49- 48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALMEIDA 37‐51‐15,1,LEAO FERREIRA DA ALMEIDA 34-49- 48,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ALPHONSE LAVALEE,1,ALPHONSE LAVALLEE,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ALZEY  7672,1,ALZEY 7672,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AMARAL = CAINO LONGO,1,CAINO LONGO 2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANANAS#,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ANGELO PIROVANO = PIROVANO 2,1,ANGELO PIROVANO,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
ANGELO PIROVANO = PIROVANO 2 CICLOPICA = PIROVANO 60,1,ANGELO PIROVANO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANGELO PIROVANO = PIROVANO 2 DELIZIA DI VAPRIO = PIROVANO 46 A,1,ANGELO PIROVANO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANGELO PIROVANO = PIROVANO 2 ITALIA = PIROVANO 65,1,ANGELO PIROVANO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANGELO PIROVANO = PIROVANO 2 MUSCAT DE HAMBOURG,1,ANGELO PIROVANO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ANGOR KALAN,1,ANGUR KALAN,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARAMON #,1,ARAMON BOUSCHET 1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ARAMON BLANC DE LA CALMETTE ARAMON,1,ARAMON BLANC DE LA CALMETTE,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARAMON N,1,ARAMON NOIR,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARAYATLY GARA UZUM,1,TEZ YETISHEN GARA UZUM,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARINTO DO DAO,1,ARINTO DO INTERIOR,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARINTO TINTO (COLLECTION SOARES FRANCO),1,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
ARIZUL L,1,ARIZUL,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ARMÊNIA I70058,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ARMÊNIA I70060 #,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ARMÊNIA I70061 #,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
AROMATICA ROSE (COLLECTION CARDINAL = G 10‐30,1,AROMATICA ROSE,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ARRARATI,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ASKERI,1,ASKERI SARI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
ASPIRANT BOUCHET #,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
ASPRINIO NERO,1,ASPRINIO TURI,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ASPROKONDOURA,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
ASYL KARA 2,1,ASYL KARA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUGUSTA (NEAGU‐GEORGESCU),1,AUGUSTA LUISE,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
AUGUSTA (NEAGU‐GEORGESCU) REINE DES VIGNES,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AURORA FAUX (COLLECTION MENDOZA) CARDINAL = G 10‐30,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION CHASSELAS N°59 CHASSELAS,1,CHASSELAS DE BANEASA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION CHASSELAS ROSE MUSCAT À PETITS GRAINS,1,MUSCAT A PETITS GRAINS BLANCS SEEDLESS,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION ITALIA N°120 ITALIA = PIROVANO 65,1,ITALIA RUBI,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION SAUVIGNON N°106 SAUVIGNON,1,SAUVIGNON MUSQUE,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION SYRAH 1992 SYRAH,1,AUTOFECONDATION SYRAH 1992,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AUTOFÉCONDATION VIOGNIER 1992 VIOGNIER,1,AUTOFECONDATION VIOGNIER 1992,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AVANÀ,1,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
AVARENGO N.,1,AVARENGO,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AXINA DE TRES BIAS,1,AXINA FURISTERA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
AÏDANI MAVRO,1,KORYFISSIO MAVRO,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
B 40-208 #,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BACO 1,1,BACO 16-B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BACO 22 A,1,BACO 32- 6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BAILEY #,1,MUSCAT BAILEY B,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BAJOR KEK,1,BAJOR SZUERKE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BAJOR KÉK,1,BAJOR SZUERKE,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BAJOR KÉK = AUGSTER BLAU,1,AUGSTER BLAU,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BALLADE,1,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
BALOUTI (ABBAYE DE LATROUN) GRENACHE = GARNACHA,1,BALOUTI (ABBAYE DE LATROUN),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BALSAMINA (COLLECTION OBERLIN) MUSCAT SAINT‐LAURENT,1,SALICETTE (COLLECTION OBERLIN),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BARADI,1,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
BARATUCIÀT,1,,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
BARBERA  96,1,BARBERA DI PATRUNAT,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BARESANA,1,BARESANA NERA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BARRILETA,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BASILE LOGOTHETIS = PIROVANO 77 SULTANINE,1,BASILE LOGOTHETIS,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BASTARDO DO OUTEIRO,1,BASTARDO DE MUNEDO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BASTARDO DOS FRADES DE BOLONIO GIBI = HEBÉN,1,BASTARDO DOS FRADES DE BOLONIO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BASTRARDO BLANCO,1,FRANCESA BLANCO,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
BAYAD (NON-IDENTIFIED),1,BAYAD,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BB 575‐49 SRLH,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BELDI,1,BELDI CT2,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BELINA STAROHRVATSKA,1,BELINA REHULJAVA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BELINA STARORVATSKA,1,BELINA REHULJAVA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BEM TABORNOK = GÉNÉRAL BEM MUSCAT D'ALEXANDRIE,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BENEDICTO FALSO,1,BENEDICTO FALSO DE ARAGON,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BENIBARADO,1,,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
BERBECEL = APROFEHER,1,BERBECEL,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,
BERBECEL=APROFEHER,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BERLANDIERI BOUTIN B,1,BERLANDIERI BOUTIN A,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BERLANDIERI COLOMBARD 1 B,1,BERLANDIERI RESSEGUIER 5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BERLANDIERI RESSEGUIER,1,BERLANDIERI RESSEGUIER 5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BERLANDIERI RESSIGUIER 2,1,BERLANDIERI RESSEGUIER 5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BERLANDIERI X COLOMBARD 1 B OR BLANCHARD 1 B,1,BERLANDIERI RESSEGUIER 5,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
BERLANDIERI-COLOMBARD 2,1,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,,
BERTILLE SEYVE    60,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   318,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   413,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   450,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   453,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   460,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   540,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   822,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   872,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE   893,1,BERTILLE SEYVE 2845,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  1020,1,BERTILLE SEYVE 1020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  1127,1,BERTILLE SEYVE 1127,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  1808,1,BERTILLE SEYVE 1808,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  2846,1,BERTILLE SEYVE 2846,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  3310,1,BERTILLE SEYVE 3310,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  4176,1,BERTILLE SEYVE 4176,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  5813,1,BERTILLE SEYVE 5813,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BERTILLE SEYVE  6283,1,BERTILLE SEYVE 6283,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BIANCONE DELL ANTELLA,1,BIANCONE DELLA PIEVE,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BIOKA,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BITURICA,1,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLACK BALLADE,1,BLACK MONUKKA,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
BLACK CORINTO,1,BLACK MONUKKA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BLACK JULY #,1,EARLY BLACK JULY,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BLACK MONUCCA,1,BLACK MONUKKA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLACK SEEDLESS,1,BLACK EMERALD SEEDLESS,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLANC,1,BLANCO,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLANC DE DELLYS,1,BLANC DE DELLYS X RHODITES,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLANC DE MORGEX,1,TEOULIER BLANC FEMELLE,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,,,,,,
BLANQUILIÑA,1,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BLAUFRANKISCH,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLJUZGAVAC,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BLUE FRENCH,1,SWEET BLUE,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,
BOLGAR,1,TRAKISKI BOLGAR,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BONARDA #,1,BONARDA BIANCA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BONARDA DI PIAVA BIANCA,1,BONARDA BIANCA,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BORDEAUX),1,MOSCATEL DE OEIRAS FAUX (COLLECTION BORDEAUX),False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BORRADO DAS MOSCAS,1,,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,
BOUQUETRAUBE,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BOUQUETTTRAUBE,1,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRAGHINA = DINKA VOEROES,1,BRAGHINA ALBA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRASIL,1,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRATKOVINA BIJELI,1,BRATKOVINA BIJELA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRATKOVINA CRVENA,1,BRATKOVINA BIJELA,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BREIDER     5-6,1,BREIDER 3-1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRS CARMEM,1,CARMEM,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS CORA,1,CORA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS LINDA,1,ROSA LINDA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS LORENA,1,LORENA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS MARGOT,1,MARGOT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS MORENA,1,MORENA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRS VIOLETA,1,VIOLETA DE MOQUEGUA,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,
BRUNI  12,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUNI  36,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUNI  41,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUNI  45,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUNI  54,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUNI  90,1,BRUNI 155,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BRUSTIANO FAUX (COLLECTION PARC DE MAYORQUIN = FARANA,1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BUDAPEST),1,,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,,,,,,
BURDIN  4077,1,BURDIN 4077,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4517,1,BURDIN 4517,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4555,1,BURDIN 4555,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4650,1,BURDIN 4650,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4655,1,BURDIN 4655,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4687,1,BURDIN 4687,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  4795,1,BURDIN 4795,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,,,,,
BURDIN  5406,1,BURDIN 5406,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,
