child,parent1,parent2,vivc_number,vivc_color,vivc_species,vivc_pedigree_confirmed_markers,child_Vv_pct,child_NA1_pct,child_NA2_pct,child_Mus_pct,child_EA_pct,child_passQC,p1_Vv_pct,p1_NA1_pct,p1_NA2_pct,p1_Mus_pct,p1_EA_pct,p1_passQC,p2_Vv_pct,p2_NA1_pct,p2_NA2_pct,p2_Mus_pct,p2_EA_pct,p2_passQC,expected_Vv_pct,expected_NA1_pct,expected_NA2_pct,expected_Mus_pct,expected_EA_pct,mean_abs_deviation_pp,max_abs_deviation_pp,ancestry_consistency_score,support_category,existing_marker_support,child_match_methods,p1_match_methods,p2_match_methods,min_confirming_methods,child_ambiguous,p1_ambiguous,p2_ambiguous
BLACK ROSE,SALEM,CONCORD,1408,NOIR,VITIS INTERSPECIFIC CROSSING,,100.0,0.0,0.0,0.0,0.0,True,50.3,0.0,49.7,0.0,0.0,True,28.4,0.0,71.6,0.0,0.0,True,39.35,0.0,60.65,0.0,0.0,24.26,60.65,0.7574,conflicting,ancestry_only,M5_fuzzy(r=0.947),M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,1,True,False,False
BLUE EYE,ELLEN SCOTT,AMERICA,1467,NOIR,VITIS INTERSPECIFIC CROSSING,,32.1,34.7,33.2,0.0,0.0,True,66.6,21.8,10.8,0.0,0.8,True,1.6,34.6,63.5,0.0,0.3,True,34.1,28.2,37.15,0.0,0.55,2.6,6.5,0.974,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
BLUESTAR,FREDONIA,NIAGARA,1471,NOIR,VITIS INTERSPECIFIC CROSSING,,31.9,0.0,68.1,0.0,0.0,True,23.6,0.2,76.1,0.0,0.1,True,50.3,0.5,49.2,0.0,0.0,True,36.95,0.35,62.65,0.0,0.05,2.18,5.45,0.9782,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,True,False
BRILLIANT,LINDLEY,DELAWARE,1686,ROUGE,VITIS INTERSPECIFIC CROSSING,,50.6,0.0,49.4,0.0,0.0,True,0.0,22.2,77.8,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,23.05,23.55,53.4,0.0,0.0,11.02,27.55,0.8898,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
CABERNET SAUVIGNON,CABERNET FRANC,SAUVIGNON BLANC,1929,NOIR,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,view,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,True,100.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,strong,SSR/SNP+ancestry,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
CACO,CONCORD,CATAWBA,1947,ROSE,VITIS INTERSPECIFIC CROSSING,,62.9,0.0,37.1,0.0,0.0,True,28.4,0.0,71.6,0.0,0.0,True,69.7,1.1,29.2,0.0,0.0,True,49.05,0.55,50.4,0.0,0.0,5.54,13.85,0.9446,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
CAPTAIN,AMERICA,R.W. MUNSON,2077,NOIR,VITIS INTERSPECIFIC CROSSING,,20.3,21.8,57.8,0.1,0.0,True,1.6,34.6,63.5,0.0,0.3,True,34.9,1.1,64.1,0.0,0.0,True,18.25,17.85,63.8,0.0,0.15,2.45,6.0,0.9755,strong,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
CAROLINA BLACKROSE,AURELIA,BLACK ROSE,2119,NOIR,VITIS INTERSPECIFIC CROSSING,,86.8,12.2,0.8,0.0,0.2,True,79.2,18.7,1.7,0.0,0.4,True,100.0,0.0,0.0,0.0,0.0,True,89.6,9.35,0.85,0.0,0.2,1.14,2.85,0.9886,strong,ancestry_only,M5_fuzzy(r=0.973),M1_exact|M3_umlaut|M4_hybrid_spacing,M5_fuzzy(r=0.947),1,False,False,True
CLOETA,AMERICA,R.W. MUNSON,2716,NOIR,VITIS INTERSPECIFIC CROSSING,,0.4,49.8,49.6,0.0,0.3,True,1.6,34.6,63.5,0.0,0.3,True,34.9,1.1,64.1,0.0,0.0,True,18.25,17.85,63.8,0.0,0.15,12.83,31.95,0.8717,weak,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
DELAGO,DELAWARE,GOETHE,3495,ROUGE,VITIS INTERSPECIFIC CROSSING,,50.2,0.0,49.8,0.0,0.0,True,46.1,24.9,29.0,0.0,0.0,True,50.2,0.6,49.2,0.0,0.0,True,48.15,12.75,39.1,0.0,0.0,5.1,12.75,0.949,moderate,ancestry_only,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,M1_exact|M3_umlaut|M4_hybrid_spacing,3,False,False,False
