show_rows_5102550100250500_1,show_rows_5102550100250500_2,show_rows_5102550100250500_3,show_rows_5102550100250500_4,show_rows_5102550100250500_5,show_rows_5102550100250500_6,show_rows_5102550100250500_7,show_rows_5102550100250500_8,show_rows_5102550100250500_9,show_rows_5102550100250500_10,show_rows_5102550100250500_11,show_rows_5102550100250500_12,page_scraped,source_url
ABEIDI,,9,,SYRIAN ARAB REPUBLIC,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABEILLANE,,10,,FRANCE,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABEJERA,BLANC,11,WINE GRAPE,SPAIN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABELHAL,BLANC,12,WINE GRAPE,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABERKANE,NOIR,13,WINE GRAPE,ALGERIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABESO,,14,,PORTUGAL,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABGUS,,15,,TURKEY,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABJOUCH,BLANC,17,WINE GRAPETABLE GRAPE,AFGHANISTAN,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABKHASURA SHARI,NOIR,18,WINE GRAPE,GEORGIA,VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
ABKHASURA TETRI,BLANC,19,WINE GRAPE,"SUN (FORMERLY USSR, UNION OF SOVIET SOCIALIST REPUBLICS)",VITIS VINIFERA LINNÉ SUBSP. SATIVA (DE CANDOLLE) HEGI,,,,,,,1,https://www.vivc.de/index.php?PassportSearch%5Babstg_marker%5D=&PassportSearch%5Bchlorotyps%5D=&PassportSearch%5Bcolor%5D=&PassportSearch%5Bcountry%5D=&PassportSearch%5Bgattung_id2%5D=&PassportSearch%5Bgenotypedssr%5D=&PassportSearch%5Bgeschlechts%5D=&PassportSearch%5Bholdings%5D=&PassportSearch%5Bkenn_nr%5D=&PassportSearch%5Bkreuzungsjahrs%5D=&PassportSearch%5Bleitname%5D=&PassportSearch%5Bmutant%5D=&PassportSearch%5Btext%5D=&PassportSearch%5Butilization2%5D=&PassportSearch%5Bzuechternames%5D=&page=1&r=passport%2Fresult&sort=kenn_nr
